project,mop,lazy,trace,mop (GB),lazy (GB),trace (GB)
apache-dubbo-hessian-lite,4429256,6376192,7957732,4.429256,6.376192,7.957732
Mastercard-oauth1-signer-java,10809804,15282896,18371704,10.809804,15.282896,18.371704
davidmoten-hilbert-curve,2762064,11940764,14019652,2.762064,11.940764,14.019652
pizihao-crow,1046728,8651480,10041252,1.046728,8.65148,10.041252
HdrHistogram-HdrHistogram,8777904,12196728,14080736,8.777904,12.196728,14.080736
searls-jasmine-maven-plugin,11499328,25759320,29697260,11.499328,25.75932,29.69726
twitter-sbf,1238500,14324596,16369444,1.2385,14.324596,16.369444
AAA-AA-basic-tools,3679576,10688676,12203124,3.679576,10.688676,12.203124
xcsp3team-XCSP3-Java-Tools,8476256,8969820,10202764,8.476256,8.96982,10.202764
apache-sling-org-apache-sling-scripting-sightly,11089368,20131380,22687248,11.089368,20.13138,22.687248
thomasmueller-minperf,5944644,26513248,29766940,5.944644,26.513248,29.76694
zhaolihe-useragent-parser,8548976,13411516,14703576,8.548976,13.411516,14.703576
pagehelper-Mybatis-PageHelper,10982384,21323716,23196316,10.982384,21.323716,23.196316
arangodb-jackson-dataformat-velocypack,12109324,112181848,127672300,12.109324,112.181848,127.6723
radkovo-Pdf2Dom,10911192,24777420,26506432,10.911192,24.77742,26.506432
robert-bor-aho-corasick,4396580,17180288,18268324,4.39658,17.180288,18.268324
MagicTheGathering-mtg-sdk-java,12609732,38475404,40858356,12.609732,38.475404,40.858356
jahlborn-jackcessencrypt,8570332,14732108,15638884,8.570332,14.732108,15.638884
JavaMoney-jsr354-ri-bp,12521436,17587168,18654428,12.521436,17.587168,18.654428
OnlineCodex-OnlineCodex,8545040,23576300,24902856,8.54504,23.5763,24.902856
intive-FDV-DynamicJasper,13410224,23710064,24946728,13.410224,23.710064,24.946728
rohanpadhye-vasco,12018516,22572848,23731928,12.018516,22.572848,23.731928
ThoughtWire-hazelcast-locks,8515244,11787640,12235400,8.515244,11.78764,12.2354
firebase-firebase-admin-java,12035468,34334040,35478580,12.035468,34.33404,35.47858
albfernandez-itext2,11343560,22050064,22768036,11.34356,22.050064,22.768036
palatable-lambda,11482648,50946400,52552516,11.482648,50.9464,52.552516
j256-simplemagic,4487924,8519196,8773804,4.487924,8.519196,8.773804
serg472-htmlcompressor,9884476,23974752,24634148,9.884476,23.974752,24.634148
jenkins-infra-update-center2,14484732,51444872,51275792,14.484732,51.444872,51.275792
simonnagl-netdata-java-orchestrator,6871524,47238380,25462004,6.871524,47.23838,25.462004
tkutcher-jgrade,3218920,4495668,3308076,3.21892,4.495668,3.308076
ysc-word,11248412,20938976,20592560,11.248412,20.938976,20.59256
bfh-evg-unicrypt,21172848,57095196,126807720,21.172848,57.095196,126.80772
